,source,target,association
0,1,12,['British Ministry of Magic']
1,1,20,['British Ministry of Magic']
2,1,22,['British Ministry of Magic']
3,1,25,['British Ministry of Magic']
4,1,43,['British Ministry of Magic']
5,1,64,['British Ministry of Magic']
6,1,73,['British Ministry of Magic']
7,1,75,['British Ministry of Magic']
8,1,84,['British Ministry of Magic']
9,1,91,['British Ministry of Magic']
10,1,92,['British Ministry of Magic']
11,1,93,['British Ministry of Magic']
12,1,99,['British Ministry of Magic']
13,1,103,['British Ministry of Magic']
14,1,107,['British Ministry of Magic']
15,1,108,['British Ministry of Magic']
16,1,131,['British Ministry of Magic']
17,1,134,['British Ministry of Magic']
18,1,165,['British Ministry of Magic']
19,1,175,['British Ministry of Magic']
20,4,6,['Slytherin']
21,4,14,['Slytherin']
22,4,15,['Slytherin']
23,4,47,['Slytherin']
24,4,48,['Slytherin']
25,4,58,['Slytherin']
26,4,61,['Slytherin']
27,4,74,['Slytherin']
28,4,88,['Slytherin']
29,4,95,['Slytherin']
30,4,96,['Slytherin']
31,4,98,['Slytherin']
32,4,111,['Slytherin']
33,4,119,['Slytherin']
34,4,140,['Slytherin']
35,4,144,['Slytherin']
36,4,150,['Slytherin']
37,4,164,['Slytherin']
38,4,167,['Slytherin']
39,5,9,['Order of the Phoenix']
40,5,10,['Gryffindor']
41,5,16,['Gryffindor']
42,5,21,['Order of the Phoenix']
43,5,24,['Order of the Phoenix']
44,5,25,['Order of the Phoenix']
45,5,27,['Order of the Phoenix']
46,5,34,['Order of the Phoenix']
47,5,37,['Gryffindor']
48,5,40,['Order of the Phoenix']
49,5,54,['Gryffindor']
50,5,55,"['Gryffindor', 'Order of the Phoenix']"
51,5,56,"['Gryffindor', 'Order of the Phoenix']"
52,5,63,['Gryffindor']
53,5,64,"['Gryffindor', 'Order of the Phoenix']"
54,5,65,['Order of the Phoenix']
55,5,66,"['Potter family', 'Gryffindor', 'Order of the Phoenix']"
56,5,67,['Potter family']
57,5,71,['Gryffindor']
58,5,72,['Gryffindor']
59,5,73,['Order of the Phoenix']
60,5,79,['Gryffindor']
