,source,target
0,0,32
1,0,35
2,0,134
3,0,167
4,0,43
5,0,171
6,0,108
7,0,78
8,0,175
9,0,84
10,0,55
11,0,88
12,0,95
13,1,134
14,1,73
15,1,43
16,1,19
17,1,20
18,1,84
19,1,117
20,1,23
21,1,56
22,1,90
23,1,59
24,2,84
25,2,55
26,2,38
27,2,167
28,3,96
29,3,66
30,3,35
31,3,37
32,3,134
33,3,167
34,3,5
35,3,79
36,3,113
37,3,146
38,3,84
39,3,85
40,3,118
41,3,86
42,3,152
43,3,62
44,4,96
45,4,67
46,4,164
47,4,69
48,4,134
49,4,70
50,4,5
51,4,140
52,4,108
53,4,175
54,4,144
55,4,19
56,4,84
57,4,88
58,4,58
59,4,95
60,5,130
61,5,3
62,5,132
63,5,133
64,5,134
65,5,4
66,5,136
67,5,9
68,5,137
69,5,140
70,5,143
71,5,144
72,5,18
73,5,19
74,5,20
75,5,146
76,5,147
77,5,150
78,5,24
79,5,26
80,5,27
81,5,154
82,5,29
83,5,160
84,5,34
85,5,35
86,5,164
87,5,165
88,5,163
89,5,167
90,5,40
91,5,41
92,5,37
93,5,43
94,5,172
95,5,173
96,5,175
97,5,48
98,5,55
99,5,56
100,5,57
101,5,58
102,5,61
103,5,64
104,5,66
105,5,67
106,5,68
107,5,69
108,5,70
109,5,72
110,5,73
111,5,78
112,5,79
113,5,84
114,5,85
115,5,88
116,5,90
117,5,92
118,5,93
119,5,95
120,5,98
121,5,100
122,5,101
123,5,103
124,5,105
125,5,106
126,5,107
127,5,108
128,5,110
129,5,112
130,5,116
131,5,119
132,5,123
133,6,64
134,6,33
135,6,96
136,6,35
137,6,69
138,6,134
139,6,166
140,6,72
141,6,108
142,6,78
143,6,175
144,6,84
145,6,156
146,6,157
147,7,134
148,7,11
149,7,139
150,7,13
151,7,143
152,7,16
153,7,15
154,7,146
155,7,151
156,7,152
157,7,162
158,7,36
159,7,37
160,7,167
161,7,46
162,7,175
163,7,48
164,7,56
165,7,62
166,7,69
167,7,70
168,7,84
169,7,98
170,7,100
171,7,105
172,7,106
173,7,108
174,7,114
175,7,116
176,7,121
177,7,123
178,8,45
179,8,79
180,8,147
181,8,84
182,8,87
183,8,23
184,8,88
185,8,89
186,8,158
187,8,159
188,9,5
189,9,134
190,9,140
191,9,144
192,9,150
193,9,23
194,9,154
195,9,41
196,9,43
197,9,175
198,9,49
199,9,55
200,9,58
201,9,66
202,9,69
203,9,70
204,9,84
205,9,98
206,9,100
207,9,108
208,10,64
209,10,132
210,10,37
211,10,146
212,10,84
213,11,134
214,11,7
215,11,137
216,11,13
217,11,142
218,11,143
219,11,15
220,11,146
221,11,150
222,11,153
223,11,154
224,11,156
225,11,33
226,11,35
227,11,163
228,11,166
229,11,41
230,11,169
231,11,172
232,11,175
233,11,51
234,11,64
235,11,68
236,11,69
237,11,72
238,11,84
239,11,88
240,11,93
241,11,98
242,11,99
243,11,108
244,11,112
245,11,121
246,12,108
247,12,122
248,12,84
249,12,134
250,13,134
251,13,7
252,13,11
253,13,139
254,13,143
255,13,16
256,13,23
257,13,152
258,13,162
259,13,37
260,13,167
261,13,172
262,13,46
263,13,175
264,13,56
265,13,64
266,13,84
267,13,88
268,13,100
269,13,105
270,13,106
271,13,108
272,13,114
273,13,116
274,13,121
275,13,123
276,14,98
277,14,69
278,14,70
279,14,175
280,14,48
281,14,15
282,14,88
283,14,60
284,15,134
285,15,7
286,15,137
287,15,11
288,15,14
289,15,144
290,15,19
291,15,150
292,15,23
293,15,29
294,15,35
295,15,36
296,15,167
297,15,171
298,15,47
299,15,48
300,15,64
301,15,68
302,15,69
303,15,70
304,15,73
305,15,74
306,15,84
307,15,106
308,15,108
309,15,112
310,15,116
311,15,119
312,15,121
313,15,123
314,16,131
315,16,134
316,16,7
317,16,139
318,16,13
319,16,143
320,16,23
321,16,154
322,16,162
323,16,35
324,16,36
325,16,163
326,16,37
327,16,167
328,16,41
329,16,172
330,16,46
331,16,175
332,16,56
333,16,62
334,16,64
335,16,68
336,16,69
337,16,79
338,16,84
339,16,88
340,16,96
341,16,97
342,16,98
343,16,108
344,16,110
345,16,112
346,16,114
347,16,116
348,16,117
349,16,123
350,17,65
351,17,98
352,17,99
353,17,100
354,17,101
355,17,134
356,17,167
357,17,103
358,17,107
359,17,175
360,17,51
361,17,84
362,17,53
363,17,95
364,18,64
365,18,5
366,18,134
367,18,172
368,18,108
369,18,79
370,18,146
371,18,84
372,18,55
373,18,125
374,19,1
375,19,4
376,19,5
377,19,134
378,19,140
379,19,141
380,19,15
381,19,146
382,19,20
383,19,22
384,19,23
385,19,24
386,19,35
387,19,163
388,19,41
389,19,43
390,19,171
391,19,174
392,19,175
393,19,55
394,19,57
395,19,59
396,19,60
397,19,61
398,19,63
399,19,64
400,19,66
401,19,69
402,19,70
403,19,73
404,19,79
405,19,84
406,19,88
407,19,89
408,19,98
409,19,108
410,19,112
411,19,117
412,19,118
413,19,125
414,20,1
415,20,5
416,20,134
417,20,141
418,20,19
419,20,147
420,20,24
421,20,30
422,20,35
423,20,43
424,20,174
425,20,175
426,20,55
427,20,57
428,20,59
429,20,63
430,20,73
431,20,79
432,20,84
433,20,88
434,20,90
435,20,107
436,20,108
437,21,130
438,21,66
439,21,165
440,21,168
441,21,73
442,21,108
443,21,175
444,21,146
445,21,83
446,21,84
447,21,55
448,21,88
449,21,25
450,21,93
451,21,30
452,22,163
453,22,134
454,22,103
455,22,73
456,22,173
457,22,174
458,22,79
459,22,19
460,22,84
461,22,23
462,23,1
463,23,131
464,23,134
465,23,8
466,23,9
467,23,138
468,23,139
469,23,137
470,23,13
471,23,15
472,23,16
473,23,146
474,23,19
475,23,22
476,23,151
477,23,150
478,23,154
479,23,162
480,23,35
481,23,34
482,23,36
483,23,163
484,23,167
485,23,166
486,23,41
487,23,43
488,23,171
489,23,173
490,23,175
491,23,48
492,23,55
493,23,56
494,23,59
495,23,68
496,23,69
497,23,73
498,23,77
499,23,79
500,23,84
501,23,85
502,23,88
503,23,97
504,23,100
505,23,106
506,23,108
507,23,109
508,23,110
509,23,112
510,23,114
511,23,116
512,23,117
513,23,118
514,23,119
515,23,123
516,23,125
517,24,130
518,24,131
519,24,5
520,24,134
521,24,136
522,24,140
523,24,143
524,24,144
525,24,146
526,24,19
527,24,20
528,24,27
529,24,37
530,24,167
531,24,43
532,24,173
533,24,174
534,24,175
535,24,51
536,24,53
537,24,58
538,24,65
539,24,69
540,24,70
541,24,73
542,24,77
543,24,78
544,24,79
545,24,84
546,24,88
547,24,100
548,24,103
549,24,107
550,24,108
551,24,109
552,24,125
553,24,126
554,25,128
555,25,21
556,25,27
557,25,28
558,25,165
559,25,168
560,25,175
561,25,52
562,25,66
563,25,73
564,25,83
565,25,84
566,25,85
567,25,92
568,25,93
569,25,108
570,25,117
571,25,125
572,25,127
573,26,5
574,26,134
575,26,140
576,26,147
577,26,152
578,26,27
579,26,164
580,26,165
581,26,41
582,26,173
583,26,175
584,26,57
585,26,64
586,26,66
587,26,67
588,26,70
589,26,73
590,26,84
591,26,88
592,26,98
593,26,99
594,26,100
595,26,108
596,26,120
597,27,128
598,27,5
599,27,134
600,27,140
601,27,24
602,27,25
603,27,26
604,27,28
605,27,165
606,27,37
607,27,166
608,27,40
609,27,173
610,27,175
611,27,52
612,27,64
613,27,66
614,27,73
615,27,84
616,27,88
617,27,90
618,27,98
619,27,100
620,27,107
621,27,108
622,27,113
623,27,114
624,27,127
625,28,128
626,28,175
627,28,113
628,28,84
629,28,25
630,28,27
631,28,127
632,29,129
633,29,130
634,29,69
635,29,133
636,29,167
637,29,103
638,29,105
639,29,106
640,29,5
641,29,173
642,29,175
643,29,15
644,29,84
645,29,85
646,29,55
647,29,155
648,29,30
649,30,129
650,30,130
651,30,165
652,30,103
653,30,73
654,30,108
655,30,173
656,30,175
657,30,20
658,30,21
659,30,84
660,30,85
661,30,55
662,30,155
663,30,29
664,31,103
665,31,175
666,31,146
667,31,147
668,31,92
669,32,0
670,32,64
671,32,69
672,32,167
673,32,103
674,32,49
675,32,84
676,32,149
677,32,86
678,32,55
679,33,98
680,33,68
681,33,6
682,33,167
683,33,72
684,33,11
685,33,78
686,33,175
687,33,112
688,33,146
689,33,84
690,33,121
691,33,93
692,34,5
693,34,103
