,name,birth,death,species,ancestry,gender,hair_color,eye_color,patronus,house,associated_groups,books_featured_in,nb_books_featured_in,wood,length,core,Note,id,label,link,link_image,connection_label,nb_associations,nb_interactions,image_name
0,Aragog,c. 1942,"20 April, 1997 (aged around 55)",Acromantula,,Male,Brown,Black & Grey/Milky-White (Blind),,,[],"[2, 5, 6, 7]",4,,,,,150,Aragog,Aragog,http://img4.wikia.nocookie.net/__cb20100611145604/harrypotter/images/d/d2/Ara.jpg,"['Albus Dumbledore', 'Argus Filch', 'Cornelius Fudge', 'Dolores Umbridge', 'Fang', 'Harry Potter', 'Hermione Granger', 'Horace Slughorn', 'Lord Voldemort', 'Myrtle Warren', 'Peeves', 'Ronald Weasley', 'Rubeus Hagrid']",0,13,aragog
1,Ludovic Bagman,Before 1964 (most likely),,Human,Pure-blood or Half-blood,Male,Blond,Baby blue,,,['British Ministry of Magic'],"[4, 5]",2,,,,,1,Ludovic Bagman,Ludo_Bagman,http://img1.wikia.nocookie.net/__cb20111028215525/harrypotter/images/7/71/LudoBagman.png,"['Alastor Moody', 'Augustus Rookwood', 'Bartemius Crouch Junior', 'Bartemius Crouch Senior', 'Cedric Diggory', 'Cornelius Fudge', 'Harry Potter', 'Hermione Granger', 'Lee Jordan', 'Rita Skeeter', 'Viktor Krum']",1,11,ludovic_bagman
2,Bane,,,Centaur,,Male,Black,,,,['Hogwarts School of Witchcraft and Wizardry'],"[1, 5, 7]",3,,,,,151,Bane,Bane,http://img3.wikia.nocookie.net/__cb20100712171001/harrypotter/images/8/86/08.jpg,"['Dolores Umbridge', 'Firenze', 'Harry Potter', 'Rubeus Hagrid']",1,4,bane
3,Cuthbert Binns,,"Pre 1970s, Staffroom, Hogwarts Castle",Ghost,,Male,White (balding),Black,,,['Hogwarts School of Witchcraft and Wizardry'],"[1, 2, 3, 4, 5, 7]",6,,,,,4,Cuthbert Binns,Cuthbert_Binns,http://img1.wikia.nocookie.net/__cb20130907183810/harrypotter/images/9/94/CuthbertBinns.png,"['Argus Filch', 'Bathilda Bagshot', 'Dolores Umbridge', 'Gilderoy Lockhart', 'Harry Potter', 'Hermione Granger', 'James Potter', 'Lavender Brown', 'Minerva McGonagall', 'Parvati Patil', 'Peter Pettigrew', 'Quirinus Quirrell', 'Remus Lupin', 'Salazar Slytherin', 'Seamus Finnigan', 'Sirius Black']",1,16,cuthbert_binns
4,Regulus Black,1961,1979 (aged 18),Human,Pure-blood,Male,Black,,Non-corporeal,Slytherin,"['Slytherin', 'Hogwarts School of Witchcraft and Wizardry']","[5, 6, 7]",3,,,,,5,Regulus Black,Regulus_Black,http://img2.wikia.nocookie.net/__cb20111004231647/harrypotter/images/b/bf/RegulusBlackCloseUp.jpg,"['Albus Dumbledore', 'Andromeda Tonks', 'Bartemius Crouch Junior', 'Bellatrix Lestrange', 'Draco Malfoy', 'Harry Potter', 'Hermione Granger', 'Horace Slughorn', 'Kreacher', 'Lord Voldemort', 'Lucius Malfoy', 'Narcissa Malfoy', 'Ronald Weasley', 'Salazar Slytherin', 'Sirius Black', 'Teddy Lupin']",2,16,regulus_black
5,Sirius Black,"3 November, 1959","18 June, 1996 (aged 36)",Human,Pure-blood,Male,Black,Grey,Non-corporeal,Gryffindor,"['Potter family', 'Hogwarts School of Witchcraft and Wizardry', 'Gryffindor', 'Order of the Phoenix']","[1, 3, 4, 5, 6, 7]",6,,,,,6,Sirius Black,Sirius_Black,http://img1.wikia.nocookie.net/__cb20091222193318/harrypotter/images/7/75/Sirius_Black_profile.jpg,"['Aberforth Dumbledore', 'Alastor Moody', 'Albus Dumbledore', 'Andromeda Tonks', 'Antonin Dolohov', 'Arabella Figg', 'Argus Filch', 'Arthur Weasley', 'Augustus Rookwood', 'Bartemius Crouch Junior', 'Bartemius Crouch Senior', 'Bellatrix Lestrange', 'Buckbeak', 'Cho Chang', 'Cornelius Fudge', 'Crookshanks', 'Cuthbert Binns', 'Dean Thomas', 'Dobby', 'Dolores Umbridge', 'Draco Malfoy', 'Dudley Dursley', 'Ernest Macmillan', 'Fat Lady', 'Fawkes', 'Filius Flitwick', 'Fred Weasley', 'George Weasley', 'Ginny Weasley', 'Gregory Goyle', 'Hannah Abbott', 'Harry Potter', 'Hedwig', 'Hermione Granger', 'Horace Slughorn', 'Igor Karkaroff', 'James Potter', 'Kingsley Shacklebolt', 'Kreacher', 'Lee Jordan', 'Lord Voldemort', 'Lucius Malfoy', 'Luna Lovegood', 'Madam Rosmerta', 'Millicent Bulstrode', 'Minerva McGonagall', 'Molly Weasley', 'Mundungus Fletcher', 'Nagini', 'Narcissa Malfoy', 'Neville Longbottom', 'Nicholas de Mimsy-Porpington', 'Nymphadora Tonks', 'Oliver Wood', 'Pansy Parkinson', 'Peeves', 'Percy Weasley', 'Peter Pettigrew', 'Petunia Dursley', 'Pomona Sprout', 'Poppy Pomfrey', 'Regulus Black', 'Remus Lupin', 'Rodolphus Lestrange', 'Rolanda Hooch', 'Ronald Weasley', 'Rubeus Hagrid', 'Rufus Scrimgeour', 'Seamus Finnigan', 'Severus Snape', 'Susan Bones', 'Ted Tonks', 'Teddy Lupin']",4,73,sirius_black
6,Bloody Baron,Post 982,11th century,Ghost,,Male,,,,Slytherin,"['Hogwarts School of Witchcraft and Wizardry', 'Slytherin']","[1, 2, 4, 5, 7]",5,,,,,152,Bloody Baron,Bloody_Baron,http://img2.wikia.nocookie.net/__cb20100408172210/harrypotter/images/8/82/BaronHP.jpg,"['Albus Dumbledore', 'Argus Filch', 'Draco Malfoy', 'Fat Friar', 'Harry Potter', 'Helena Ravenclaw', 'Hermione Granger', 'Neville Longbottom', 'Nicholas de Mimsy-Porpington', 'Peeves', 'Ronald Weasley', 'Rowena Ravenclaw', 'Salazar Slytherin', 'Sybill Trelawney']",2,14,bloody_baron
7,Terry Boot,between 1 September 1979 and 21 April 1980,,Human,Pure-blood or Half-blood,Male,,,,Ravenclaw,"['Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw', ""Dumbledore's Army""]","[1, 2, 5, 6, 7]",5,,,,,9,Terry Boot,Terry_Boot,http://img4.wikia.nocookie.net/__cb20090621212432/harrypotter/images/9/9a/TerryBoot.PNG,"['Albus Dumbledore', 'Alecto Carrow', 'Alicia Spinnet', 'Amycus Carrow', 'Angelina Johnson', 'Anthony Goldstein', 'Cho Chang', 'Colin Creevey', 'Dean Thomas', 'Dolores Umbridge', 'Draco Malfoy', 'Fred Weasley', 'George Weasley', 'Gilderoy Lockhart', 'Gregory Goyle', 'Harry Potter', 'Hermione Granger', 'Justin Finch-Fletchley', 'Katie Bell', 'Lee Jordan', 'Lucius Malfoy', 'Luna Lovegood', 'Michael Corner', 'Minerva McGonagall', 'Padma Patil', 'Parvati Patil', 'Ronald Weasley', 'Seamus Finnigan', 'Severus Snape', 'Susan Bones', 'Vincent Crabbe']",3,31,terry_boot
8,Frank Bryce,August 1917,"16 August, 1994 (aged 76)",Human,Muggle,Male,,,,,[],"[4, 6]",2,,,,,13,Frank Bryce,Frank_Bryce,http://img4.wikia.nocookie.net/__cb20090505171455/harrypotter/images/d/d4/Frankbryce2.jpg,"['Cedric Diggory', 'Harry Potter', 'Lord Voldemort', 'Mary Riddle', 'Merope Gaunt', 'Morfin Gaunt', 'Nagini', 'Peter Pettigrew', 'Thomas Riddle', 'Tom Riddle Senior']",0,10,frank_bryce
9,Buckbeak,in or before 1993,,Hippogriff,,Male,,Orange,,,"['Order of the Phoenix', 'Hogwarts School of Witchcraft and Wizardry', ""Dumbledore's Army""]","[3, 4, 5, 6, 7]",5,,,,,153,Buckbeak,Buckbeak,http://img2.wikia.nocookie.net/__cb20130826201632/harrypotter/images/5/55/Buckbeak_Pottermore.png,"['Albus Dumbledore', 'Bellatrix Lestrange', 'Cedric Diggory', 'Cornelius Fudge', 'Dean Thomas', 'Draco Malfoy', 'Filius Flitwick', 'Grawp', 'Harry Potter', 'Hermione Granger', 'Kreacher', 'Lucius Malfoy', 'Narcissa Malfoy', 'Pansy Parkinson', 'Poppy Pomfrey', 'Remus Lupin', 'Ronald Weasley', 'Rubeus Hagrid', 'Severus Snape', 'Sirius Black']",3,20,buckbeak
