,id,movie,chapter,character,dialog,polarity_score
0,0,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,I should have known that you would be here...Professor McGonagall.,0.0
1,1,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",0.6908
2,2,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"I'm afraid so, Professor. The good, and the bad.",-0.1531
3,3,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,And the boy?,0.0
4,4,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,Hagrid is bringing him.,0.0
5,5,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,Do you think it wise to trust Hagrid with something as important as this?,0.802
6,6,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"Ah, Professor, I would trust Hagrid with my life.",0.5106
7,7,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Rubeus Hagrid,"Professor Dumbledore, Sir. Professor McGonagall.",0.0
8,8,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"No problems, I trust, Hagrid?",0.6765
9,9,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Rubeus Hagrid,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",-0.1531
10,10,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...",-0.235
11,11,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,The only family he has.,0.0
12,12,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,This boy will be famous. There won't be a child in our world who doesn't know his name.,0.0
13,13,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,Exactly. He's better off growing up away from all that. Until he is ready.,0.7269
14,14,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"There, there, Hagrid. It's not really goodbye, after all.",0.0
15,15,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,Good luck...Harry Potter.,0.4404
16,16,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,Up. Get up.  Now!,0.0
17,17,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,"Wake up, cousin! We're going to the zoo!",0.0
18,18,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Oh, here he comes, the birthday boy!",0.0
19,19,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"Happy birthday, son.",0.5719
20,20,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Why don't you just cook the breakfast, and try not to burn anything.",0.0
21,21,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,"Yes, Aunt Petunia.",0.4019
22,22,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,I want everything to be perfect for my Dudley's special day.,0.7717
23,23,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"Hurry up! Bring my coffee, boy!",0.0
24,24,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,"Yes, Uncle Vernon.",0.4019
25,25,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Aren’t they wonderful, darling?",0.8176
26,26,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,How many are there?,0.0
27,27,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,Thirty-six. Counted 'em myself.,0.0
28,28,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,Thirty-six?! But last year last year I had thirty-seven!!,0.0
29,29,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"Err yes, well, some of them are quite a bit bigger than last year.",0.5859
30,30,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,I don't care how big they are!,-0.4442
31,31,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?",0.0
32,32,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,This will be a lovely day at the zoo. I'm really looking forward to it.,0.5859
33,33,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.",0.128
34,34,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,Make it move.,0.0
35,35,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,Move!,0.0
36,36,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,MOVE!,0.0
37,37,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,He's asleep!,0.0
38,38,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,He's boring.,-0.3182
39,39,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.",-0.4871
40,40,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,"Mummy, dad, come here! You won't believe what this snake is doing!",0.0
41,41,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,Whoa! Ahh! Ahh!!,0.0
42,42,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Snake,Thanks.,0.4404
43,43,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,Anytime.,0.0
44,44,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Man,SNAKE!,0.0
45,45,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,"Mum, mummy!",0.0
46,46,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,AHH!,0.0
47,47,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,"Mum, help! Help me!",0.717
48,48,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!",0.7215
49,49,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,It's all right. It's all right.,0.0
50,50,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,Ow!,0.0
51,51,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,What happened?!,0.0
52,52,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!",0.4898
53,53,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,There's no such thing as magic!,-0.3595
54,54,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.",0.3612
55,55,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Caveat Smeltona. Proudest moment of my life.,0.5574
56,56,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,"Will I have to wear that, too?",0.0
57,57,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"What, you? Go to Smeltings?",0.0
58,58,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Ha!,0.0
59,59,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it.",-0.656
60,60,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.,0.7579
61,61,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,It'll fit you well enough. Go get the post.  Go!,0.5983
62,62,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Oh, Marge is ill! Ate a funny whelk.",0.1007
63,63,Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,Dad! Look! Harry's got a letter!,0.0
64,64,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,"Hey, give it back! It's mine!",0.0
65,65,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Yours? Who'd be writing to you?,0.0
66,66,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,No more mail through this letterbox.,-0.296
67,67,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"Have a lovely day at the office, dear.",0.7506
68,68,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Shoo! Go on!,0.0
69,69,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?",0.7184
70,70,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,Because there's no post on Sunday?,-0.296
71,71,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-",0.2325
72,72,Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,AHH! Make it stop! Please make it stop!,-0.4545
73,73,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Go away, ahh!",0.0
74,74,Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,What is it? Please tell me what's happening!,0.3802
75,75,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Give me that! Give me that letter!,0.0
76,76,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,Get off! Ahh!,0.0
77,77,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Ahh!,0.0
78,78,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,They're my letters! Let go of me!,0.0
79,79,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,That's it! We're going away! Far away! Where they can't find us!,0.0
80,80,Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,"Daddy's gone mad, hasn't he?!",-0.5411
81,81,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"Make a wish, Harry.",0.4019
