lineNb,bookId,spell,spellType,sentence
695,1,mimblewimble,Curse,"uncle vernon, who had gone very pale, whispered something that sounded like 'mimblewimble.' hagrid stared wildly at harry."
2491,1,switching spell,Transfiguration,"'don’t you care about gryffindor, do you only care about yourselves, / don’t want slytherin to win the house cup, and you’ll lose all the points i got from professor mcgonagall for knowing about switching spells.'"
2576,1,alohomora,Charm,"'oh, move over,' hermione snarled. she grabbed harry’s wand, tapped the lock, and whispered, 'alohomora'"
2754,1,wingardium leviosa,Charm,"'wingardium leviosal' he shouted, waving his long arms like a windmill."
2757,1,wingardium leviosa,Charm,"hermione rolled up the sleeves of her gown, flicked her wand, and said, 'wingardium leviosav’"
2775,1,purple firecrackers,Charm,there was an uproar. it took several purple firecrackers exploding from the end of professor dumbledore’s wand to bring silence.
2844,1,wingardium leviosa,Charm,hermione had sunk to the floor in fright; ron pulled out his own wand — not knowing what he was going to do he heard himself cry the first spell that came into his head: 'wingardium leviosal'
3570,1,locomotor,Charm,"'now, don’t forget, it’s locomotor mortis,' hermione muttered as ron slipped his wand up his sleeve."
3570,1,locomotor mortis,Curse,"'now, don’t forget, it’s locomotor mortis,' hermione muttered as ron slipped his wand up his sleeve."
4058,1,green sparks,,"'all right, but i warn yeh, he’s a coward,' said hagrid. 'so me, harry, an’ hermione’ll go one way an’ draco, neville, an’ fang’ll go the other. now, if any of us finds the unicorn, we’ll send up green sparks, right?"
4250,1,anti-cheating spell,Charm,"it was sweltering hot, especially in the large classroom where they did their written papers. they had been given special, new quills for the exams, which had been bewitched with an anti-cheating spell."
4442,1,petrificus totalus,Curse,"'petrificus totalusl' she cried, pointing it at neville."
4542,1,bluebell flames,Charm,"'oh, right!' said hermione, and she whipped out her wand, waved it, muttered something, and sent a jet of the same bluebell flames she had used on snape at the plant. in a matter of seconds, the two boys felt it loosening its grip as it cringed away from the light and warmth. wriggling and flailing, it unraveled itself from their bodies, and they were able to pull free."
4561,1,alohomora,Charm,"the other two followed him. they tugged and heaved at the door, but it wouldn’t budge, not even when hermione tried her alohomora charm."
5468,2,hover charm,Charm,we have received intelligence that a hover charm was used at your place of residence this evening at twelve minutes past nine.
7736,2,babbling curse,Curse,"since the disastrous episode of the pixies, professor lockhart had not brought live creatures to class. instead, he read passages from his books to them, and sometimes reenacted some of the more dramatic bits. he usually picked harry to help him with these reconstructions; so far, harry had been forced to play a simple transylvanian villager whom lockhart had cured of a babbling curse, a yeti with a head cold, and a vampire who had been unable to eat anything except lettuce since lockhart had dealt with him."
7741,2,homorphus charm,Charm,"and performed the immensely complex homorphus charm — he let out a piteous moan — go on, harry — higher than that — good — the fur vanished — the fangs shrank — and he turned back into a man. simple, yet effective — and another village will remember me forever as the hero who delivered them from the monthly terror of werewolf attacks.'"
8173,2,expelliarmus,Charm,"' expelliarmusv’ there was a dazzling flash of scarlet light and lockhart was blasted off his feet: he flew backward off the stage, smashed into the wall, and slid down it to sprawl on the floor."
8196,2,rictusempra,Charm,"harry swung his wand high, but malfoy had already started on 'two': his spell hit harry so hard he felt as though he’d been hit over the head with a saucepan. he stumbled, but everything still seemed to be working, and wasting no more time, harry pointed his wand straight at malfoy and shouted, 'rictusempral'"
8204,2,tarantallegra,Jinx,"'i said disarm only' lockhart shouted in alarm over the heads of the battling crowd, as malfoy sank to his knees; harry had hit him with a tickling charm, and he could barely move for laughing. harry hung back, with a vague feeling it would be unsporting to bewitch malfoy while he was on the floor, but this was a mistake; gasping for breath, malfoy pointed his wand at harry’s knees, choked, 'tarantallegral' and the next second harry’s legs began to jerk around out of his control in a kind of quickstep."
8206,2,finite incantatem,Counter-Spell,"'finite incantatem' he shouted; harry’s feet stopped dancing, malfoy stopped laughing, and they were able to look up."
8235,2,serpensortia,Conjuration,' serpensortial'
8874,2,aparecium,Charm,"she tapped the diary three times and said, 'aparecium'"
8961,2,expelliarmus,Charm,"' expelliarmusv’ and just as snape had disarmed lockhart, so malfoy found the diary shooting out of his hand into the air. ron, grinning broadly, caught it."
9485,2,lumos,Charm,"harry took out his wand, murmured, 'lumos' and a tiny light appeared at the end of it, just enough to let them watch the path for signs of spiders."
9930,2,expelliarmus,Charm,' expelliarmus\ '
9997,2,lumos,Charm,"'lumosl' harry muttered to his wand and it lit again. 'c’mon,' he said to ron and lockhart, and off they went, their footsteps slapping loudly on the wet floor."
10024,2,obliviate,Charm,"he raised ron’s spellotaped wand high over his head and yelled, 'obliviatel'"
11087,3,lumos,Charm,"'lumos,' harry muttered, and a light appeared at the end of his wand, almost dazzling him. he held it high over his head, and the pebble-dashed walls of number two suddenly sparkled; the garage door gleamed, and between them harry saw, quite distinctly, the hulking outline of something very big, with wide, gleaming eyes."
12694,3,waddiwasi,Charm,' waddiwasil ' and pointed it at peeves.
12738,3,riddikulus,Charm,"'we will practice the charm without wands first. after me, please ... riddikulusv’"
12739,3,riddikulus,Charm,' riddikulusv’ said the class together.
12768,3,riddikulus,Charm,"neville, and sees you, it will assume the form of professor snape,' said lupin. 'and you will raise your wand — thus — and cry ‘riddikulus’ — and concentrate hard on your grandmother’s clothes. if all goes well, professor boggart snape will be forced into that vulture-topped hat, and that green dress, with that big red handbag.'"
12794,3,riddikulus,Charm,'r — r — riddikulusv’ squeaked neville.
12798,3,riddikulus,Charm,'riddikulusv’ cried parvati.
12803,3,riddikulus,Charm,'riddikulusv’ shouted seamus.
12813,3,riddikulus,Charm,'riddikulusv’ yelled dean.
